name,label,type,group,classification,sanitization_reason,description
hs_all_associated_contact_mobilephones,All associated contact mobile phones,string,ticketinformation,EXCLUDE,aggregated customer contact data,All associated contact mobile phones
hs_all_associated_contact_phones,All associated contact phones,string,ticketinformation,EXCLUDE,aggregated customer contact data,All associated contact phones
hs_conversations_originating_message_id,Originating Conversations Message Id,string,ticketinformation,EXCLUDE,message metadata / content references,Conversations Message Id of the message that originated this ticket
hs_email_subject,Email subject,string,ticketinformation,EXCLUDE,message metadata / content references,Email subject
hs_feedback_last_ces_follow_up,Last CES survey comment,string,ticketinformation,EXCLUDE,free-text survey response from customer,Last CES survey comment that this contact gave for this ticket
hs_first_visitor_message_sentiment,(Deprecated) First message sentiment,enumeration,ticket_ai_enrichment,EXCLUDE,computed from customer message content,"No new values after 05/01/2026 - Sentiment of the visitor's initial message (Positive, Neutral, or Negative), based on an AI-generated sentiment score. Scores of 60-100 are Positive, 41-59 are Neutral"
hs_first_visitor_message_sentiment_score,First message sentiment score,number,ticket_ai_enrichment,EXCLUDE,computed from customer message content,AI-generated sentiment score (0-100) of the initial message sent by the visitor. Higher scores indicate more positive sentiment.
hs_has_live_chat_ended_or_email_sent,Has live chat ended or email sent,enumeration,ticketinformation,EXCLUDE,message metadata / content references,
hs_is_latest_message_failed,Is latest message failed,bool,ticketinformation,EXCLUDE,message metadata / content references,Is latest message failed
hs_is_latest_message_hidden_from_all,Is latest message hidden from all,bool,ticketinformation,EXCLUDE,message metadata / content references,Is latest message hidden from all
hs_last_csat_comment,Last CSAT survey comment,string,ticket_activity,EXCLUDE,free-text survey response from customer,Last CSAT survey comment associated to this ticket
hs_last_email_activity,Last email activity,enumeration,ticketinformation,EXCLUDE,message metadata / content references,The type of the last email activity with the contact associated with the ticket.
hs_last_email_date,Last email date,datetime,ticketinformation,EXCLUDE,message metadata / content references,The date of the last email activity with the contact associated with the ticket.
hs_last_email_details,Last email details,string,ticketinformation,EXCLUDE,message metadata / content references,The id and direction of the last non-forwarded email
hs_last_email_type,Last Email Type,string,ticketinformation,EXCLUDE,message metadata / content references,
hs_last_message_from_visitor,Last message from visitor,bool,ticketinformation,EXCLUDE,message metadata / content references,Whether the last message came from visitor
hs_last_message_received_at,Last message received date,datetime,ticketinformation,EXCLUDE,message metadata / content references,The date of the last response from the visitor
hs_last_nps_survey_comment,Last NPS survey comment,string,ticket_activity,EXCLUDE,free-text survey response from customer,Last NPS survey comment associated to this ticket
hs_last_visitor_message_sentiment,(Deprecated) Last message sentiment,enumeration,ticket_ai_enrichment,EXCLUDE,computed from customer message content,"No new values after 05/01/2026 - Sentiment of the visitor's latest message (Positive, Neutral, or Negative), based on an AI-generated sentiment score. Scores of 60-100 are Positive, 41-59 are Neutral,"
hs_last_visitor_message_sentiment_score,Latest message sentiment score,number,ticket_ai_enrichment,EXCLUDE,computed from customer message content,AI-generated sentiment score (0-100) of the most recent message sent by the visitor. Higher scores indicate more positive sentiment.
hs_latest_message_attachment_types,Latest message attachment types,enumeration,ticketinformation,EXCLUDE,message metadata / content references,List of attachment types from the latest message
hs_latest_message_is_forwarded_email,Latest message is forwarded email,bool,ticketinformation,EXCLUDE,message metadata / content references,Is latest message a forwarded email
hs_latest_message_is_thread_comment,Latest message is thread comment,bool,ticketinformation,EXCLUDE,message metadata / content references,Is latest message a thread comment
hs_latest_message_visible_to_visitor,Latest message visible to visitor,string,ticketinformation,EXCLUDE,message metadata / content references,The text of the latest message that is visible to the visitor (truncated)
hs_latest_message_visible_to_visitor_sent_at,Latest message visible to visitor sent at,datetime,ticketinformation,EXCLUDE,message metadata / content references,The timestamp of when the last message visible to the visitor was sent.
hs_msteams_message_id,Microsoft Teams message ID for this ticket.,string,ticketinformation,EXCLUDE,message metadata / content references,Microsoft Teams message ID for this ticket.
hs_originating_email_engagement_id,Originating email engagement id,number,ticketinformation,EXCLUDE,message metadata / content references,Engagement id of the email originating this ticket
hs_overall_visitor_messages_sentiment,(Deprecated) Average ticket sentiment,enumeration,ticket_ai_enrichment,EXCLUDE,computed from customer message content,"No new values after 05/01/2026 - Overall sentiment of the ticket (Positive, Neutral, or Negative), determined by the average of AI-analyzed sentiment scores from all visitor messages. An average score"
hs_overall_visitor_messages_sentiment_score,Average ticket sentiment score,number,ticket_ai_enrichment,EXCLUDE,computed from customer message content,"The average sentiment score (0-100) of all visitor messages on a ticket. Each message's sentiment is individually analyzed by AI, and this property displays the mean average of those individual scores"
hs_primary_company,Primary Company,string,ticketinformation,EXCLUDE,customer identity/company,Primary company of a ticket
hs_primary_company_id,Primary Company ID,number,ticketinformation,EXCLUDE,customer identity/company,Primary company ID of a ticket
hs_primary_company_name,Primary Company Name,string,ticketinformation,EXCLUDE,customer identity/company,Primary company name of a ticket
license_type_ticket_only_,License-Type (Ticket Only),enumeration,ticketinformation,EXCLUDE,licensing identifies specific customer accounts,Copied from contact value
new_company_name,New Company Name,string,ticketinformation,EXCLUDE,company-related (likely customer),
si_jira_issue_assignee,Jira issue assignee,string,si_jira_integration,EXCLUDE,Jira free-text / internal user identifier,Assignee of the Jira issue the ticket is attached to
si_jira_issue_link,Jira issue link,string,si_jira_integration,EXCLUDE,Jira free-text / internal user identifier,Link to the Jira issue the ticket is attached to
si_jira_issue_reporter,Jira issue reporter,string,si_jira_integration,EXCLUDE,Jira free-text / internal user identifier,Reporter of the Jira issue the ticket is attached to
si_jira_issue_summary,Jira issue summary,string,si_jira_integration,EXCLUDE,Jira free-text / internal user identifier,Summary of the Jira issue the ticket is attached to
si_jira_sync_notes,Jira notes sync by default,string,si_jira_integration,EXCLUDE,Jira free-text / internal user identifier,"Specifies a default value for the ""Sync notes"" flag in the Jira issue attachment modal window"
sub_process_legal_security_compliance_2_licensecount_existing,Sub_Process_legal_security_compliance-2-LicenseCount-existing,string,ticketinformation,EXCLUDE,licensing identifies specific customer accounts,
sub_process_legal_security_compliance_2_licensecount_expected,Sub_Process_legal_security_compliance-2-LicenseCount-expected,string,ticketinformation,EXCLUDE,licensing identifies specific customer accounts,
sub_process_reseller_existing_license_count,Sub_Process_Reseller-Existing-License-Count,string,ticketinformation,EXCLUDE,licensing identifies specific customer accounts,
sub_process_reseller_new_license_count,Sub_Process_Reseller-New-License-Count,string,ticketinformation,EXCLUDE,licensing identifies specific customer accounts,
subject,Ticket name,string,ticketinformation,EXCLUDE,customer-authored content,Short summary of ticket
